,key,stock,sold_out_date,sol_out_pred,date_sold_out_date,date_sold_out_pred,days_differ,correct_differ
37,10096 M,5.0,2018-01-27,2018-01-22,2018-01-27,2018-01-22,5 days 00:00:00.000000000,5
38,10096 XL,3.0,2018-01-27,2018-01-23,2018-01-27,2018-01-23,4 days 00:00:00.000000000,4
39,10098 39,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
40,10102 2XL,1.0,2018-01-18,2018-01-10,2018-01-18,2018-01-10,8 days 00:00:00.000000000,8
41,10102 XL,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
42,10104 7 ( L ),1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
43,10111 XL,1.0,2018-01-08,2018-01-10,2018-01-08,2018-01-10,-2 days +00:00:00.000000000,2
44,10115 44,1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
45,10116 M,3.0,2018-01-30,2018-01-23,2018-01-30,2018-01-23,7 days 00:00:00.000000000,7
46,10119 39 1/3,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
47,10119 40,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
48,10119 40 2/3,1.0,2018-01-05,2018-01-10,2018-01-05,2018-01-10,-5 days +00:00:00.000000000,5
49,10119 41 1/3,1.0,2018-01-12,2018-01-10,2018-01-12,2018-01-10,2 days 00:00:00.000000000,2
50,10119 44,1.0,2018-01-25,2018-01-10,2018-01-25,2018-01-10,15 days 00:00:00.000000000,15
51,10119 44 2/3,2.0,2018-01-26,2018-01-17,2018-01-26,2018-01-17,9 days 00:00:00.000000000,9
52,10119 45 1/3,3.0,2018-01-31,2018-01-23,2018-01-31,2018-01-23,8 days 00:00:00.000000000,8
53,10119 46,1.0,2018-01-30,2018-01-10,2018-01-30,2018-01-10,20 days 00:00:00.000000000,20
54,10119 46 2/3,1.0,2018-01-28,2018-01-10,2018-01-28,2018-01-10,18 days 00:00:00.000000000,18
55,10125 L,3.0,2018-01-03,2018-01-23,2018-01-03,2018-01-23,-20 days +00:00:00.000000000,20
56,10125 M,2.0,2018-01-07,2018-01-17,2018-01-07,2018-01-17,-10 days +00:00:00.000000000,10
57,10125 S,6.0,2018-01-22,2018-01-22,2018-01-22,2018-01-22,0 days 00:00:00.000000000,0
58,10125 XL,1.0,2018-01-07,2018-01-10,2018-01-07,2018-01-10,-3 days +00:00:00.000000000,3
59,10126 42,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
60,10126 44,1.0,2018-01-21,2018-01-10,2018-01-21,2018-01-10,11 days 00:00:00.000000000,11
61,10131 152,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
62,10131 164,2.0,2018-01-14,2018-01-17,2018-01-14,2018-01-17,-3 days +00:00:00.000000000,3
63,10134 33,1.0,2018-01-30,2018-01-10,2018-01-30,2018-01-10,20 days 00:00:00.000000000,20
64,10141 XL ( 44/46 ),1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
65,10144 43,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
66,10144 44,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
67,10154 S,1.0,2018-01-09,2018-01-10,2018-01-09,2018-01-10,-1 days +00:00:00.000000000,1
68,10157 L,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
69,10157 M,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
70,10158 L,2.0,2018-01-19,2018-01-17,2018-01-19,2018-01-17,2 days 00:00:00.000000000,2
71,10158 M,8.0,2018-01-17,2018-01-22,2018-01-17,2018-01-22,-5 days +00:00:00.000000000,5
72,10158 XL,1.0,2018-01-04,2018-01-10,2018-01-04,2018-01-10,-6 days +00:00:00.000000000,6
73,10160 M,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
74,10164 L ( 152-158 ),1.0,2018-01-05,2018-01-10,2018-01-05,2018-01-10,-5 days +00:00:00.000000000,5
75,10164 M ( 140-152 ),4.0,2018-01-07,2018-01-28,2018-01-07,2018-01-28,-21 days +00:00:00.000000000,21
76,10164 S ( 128-140 ),1.0,2018-01-22,2018-01-10,2018-01-22,2018-01-10,12 days 00:00:00.000000000,12
77,10164 XL ( 158-170 ),6.0,2018-01-28,2018-01-22,2018-01-28,2018-01-22,6 days 00:00:00.000000000,6
78,10164 XS ( 116-128 ),1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
79,10165 36,1.0,2018-01-30,2018-01-10,2018-01-30,2018-01-10,20 days 00:00:00.000000000,20
80,10167 M,2.0,2018-01-31,2018-01-17,2018-01-31,2018-01-17,14 days 00:00:00.000000000,14
81,10167 S,1.0,2018-01-21,2018-01-10,2018-01-21,2018-01-10,11 days 00:00:00.000000000,11
82,10168 152,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
83,10169 2 ( 37-39 ),1.0,2018-01-28,2018-01-10,2018-01-28,2018-01-10,18 days 00:00:00.000000000,18
84,10169 3 ( 40-42 ),5.0,2018-01-16,2018-01-22,2018-01-16,2018-01-22,-6 days +00:00:00.000000000,6
85,10169 4 ( 43-45 ),15.0,2018-01-18,2018-01-22,2018-01-18,2018-01-22,-4 days +00:00:00.000000000,4
86,10169 5 ( 46-48 ),8.0,2018-01-30,2018-01-22,2018-01-30,2018-01-22,8 days 00:00:00.000000000,8
87,10170 L ( 42-46 ),12.0,2018-01-18,2018-01-22,2018-01-18,2018-01-22,-4 days +00:00:00.000000000,4
88,10170 M ( 38-42 ),1.0,2018-01-06,2018-01-10,2018-01-06,2018-01-10,-4 days +00:00:00.000000000,4
89,10170 S ( 34-38 ),1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
90,10170 XL (46-50 ),3.0,2018-01-24,2018-01-23,2018-01-24,2018-01-23,1 days 00:00:00.000000000,1
91,10170 XS ( 30-34 ),1.0,2018-01-26,2018-01-10,2018-01-26,2018-01-10,16 days 00:00:00.000000000,16
92,10171 36 2/3,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
93,10174 L,1.0,2018-01-19,2018-01-10,2018-01-19,2018-01-10,9 days 00:00:00.000000000,9
94,10177 M,1.0,2018-01-08,2018-01-10,2018-01-08,2018-01-10,-2 days +00:00:00.000000000,2
95,10183 L ( 42-46 ),1.0,2018-01-07,2018-01-10,2018-01-07,2018-01-10,-3 days +00:00:00.000000000,3
96,10183 M ( 38-42 ),1.0,2018-01-12,2018-01-10,2018-01-12,2018-01-10,2 days 00:00:00.000000000,2
97,10186 38,1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
98,10186 38 2/3,1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
99,10194 38/40 ( M / L ),1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
100,10195 L,3.0,2018-01-16,2018-01-23,2018-01-16,2018-01-23,-7 days +00:00:00.000000000,7
101,10195 M,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
102,10195 XL,1.0,2018-01-30,2018-01-10,2018-01-30,2018-01-10,20 days 00:00:00.000000000,20
103,10197 L ( 42-46 ),8.0,2018-01-03,2018-01-22,2018-01-03,2018-01-22,-19 days +00:00:00.000000000,19
104,10197 M ( 38-42 ),15.0,2018-01-12,2018-01-22,2018-01-12,2018-01-22,-10 days +00:00:00.000000000,10
105,10197 S ( 34-38 ),6.0,2018-01-30,2018-01-22,2018-01-30,2018-01-22,8 days 00:00:00.000000000,8
106,10197 XL (46-50 ),2.0,2018-01-15,2018-01-17,2018-01-15,2018-01-17,-2 days +00:00:00.000000000,2
107,10199 42 2/3,1.0,2018-01-24,2018-01-10,2018-01-24,2018-01-10,14 days 00:00:00.000000000,14
108,10207 L,1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
109,10207 M,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
110,10207 S,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
111,10208 34,1.0,2018-01-19,2018-01-10,2018-01-19,2018-01-10,9 days 00:00:00.000000000,9
112,10208 36,1.0,2018-01-12,2018-01-10,2018-01-12,2018-01-10,2 days 00:00:00.000000000,2
113,10210 40,3.0,2018-01-12,2018-01-23,2018-01-12,2018-01-23,-11 days +00:00:00.000000000,11
114,10213 43,1.0,2018-01-25,2018-01-10,2018-01-25,2018-01-10,15 days 00:00:00.000000000,15
115,10213 45,1.0,2018-01-30,2018-01-10,2018-01-30,2018-01-10,20 days 00:00:00.000000000,20
116,10214 44,3.0,2018-01-18,2018-01-23,2018-01-18,2018-01-23,-5 days +00:00:00.000000000,5
117,10219 XL,1.0,2018-01-05,2018-01-10,2018-01-05,2018-01-10,-5 days +00:00:00.000000000,5
118,10222 2XL,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
119,10222 L,3.0,2018-01-23,2018-01-23,2018-01-23,2018-01-23,0 days 00:00:00.000000000,0
120,10222 M,4.0,2018-01-29,2018-01-28,2018-01-29,2018-01-28,1 days 00:00:00.000000000,1
121,10222 S,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
122,10222 XL,2.0,2018-01-16,2018-01-17,2018-01-16,2018-01-17,-1 days +00:00:00.000000000,1
123,10224 42 2/3,1.0,2018-01-20,2018-01-10,2018-01-20,2018-01-10,10 days 00:00:00.000000000,10
124,10227 44 2/3,1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
125,10228 L,5.0,2018-01-29,2018-01-22,2018-01-29,2018-01-22,7 days 00:00:00.000000000,7
126,10228 M,2.0,2018-01-11,2018-01-17,2018-01-11,2018-01-17,-6 days +00:00:00.000000000,6
127,10228 XL,3.0,2018-01-31,2018-01-23,2018-01-31,2018-01-23,8 days 00:00:00.000000000,8
128,10230 2 ( 35-38 ),1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
129,10230 3 ( 39-42 ),1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
130,10230 4 ( 43-46 ),5.0,2018-01-26,2018-01-22,2018-01-26,2018-01-22,4 days 00:00:00.000000000,4
131,10230 5 ( 47-49 ),1.0,2018-01-19,2018-01-10,2018-01-19,2018-01-10,9 days 00:00:00.000000000,9
132,10233 L,2.0,2018-01-24,2018-01-17,2018-01-24,2018-01-17,7 days 00:00:00.000000000,7
133,10234 140,2.0,2018-01-08,2018-01-17,2018-01-08,2018-01-17,-9 days +00:00:00.000000000,9
134,10249 L,2.0,2018-01-19,2018-01-17,2018-01-19,2018-01-17,2 days 00:00:00.000000000,2
135,10254 M,1.0,2018-01-22,2018-01-10,2018-01-22,2018-01-10,12 days 00:00:00.000000000,12
136,10263 L,1.0,2018-01-26,2018-01-10,2018-01-26,2018-01-10,16 days 00:00:00.000000000,16
137,10263 M,2.0,2018-01-28,2018-01-17,2018-01-28,2018-01-17,11 days 00:00:00.000000000,11
138,10263 XL,1.0,2018-01-05,2018-01-10,2018-01-05,2018-01-10,-5 days +00:00:00.000000000,5
139,10275 42,1.0,2018-01-25,2018-01-10,2018-01-25,2018-01-10,15 days 00:00:00.000000000,15
140,10275 43,3.0,2018-01-18,2018-01-23,2018-01-18,2018-01-23,-5 days +00:00:00.000000000,5
141,10275 44,3.0,2018-01-31,2018-01-23,2018-01-31,2018-01-23,8 days 00:00:00.000000000,8
142,10276 L ( 42-46 ),1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
143,10276 S ( 34-38 ),2.0,2018-01-17,2018-01-17,2018-01-17,2018-01-17,0 days 00:00:00.000000000,0
144,10279 4 ( 39-42 ),3.0,2018-01-22,2018-01-23,2018-01-22,2018-01-23,-1 days +00:00:00.000000000,1
145,10279 5 ( 43-46 ),1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
146,10282 40 2/3,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
147,10282 42,1.0,2018-01-09,2018-01-10,2018-01-09,2018-01-10,-1 days +00:00:00.000000000,1
148,10282 43 1/3,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
149,10282 44,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
150,10283 XL ( 158-170 ),1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
151,10285 XL ( 158-170 ),1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
152,10289 43 1/3,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
153,10289 45 1/3,1.0,2018-01-09,2018-01-10,2018-01-09,2018-01-10,-1 days +00:00:00.000000000,1
154,10289 46,1.0,2018-01-28,2018-01-10,2018-01-28,2018-01-10,18 days 00:00:00.000000000,18
155,10290 L,3.0,2018-01-12,2018-01-23,2018-01-12,2018-01-23,-11 days +00:00:00.000000000,11
156,10290 M,6.0,2018-01-15,2018-01-22,2018-01-15,2018-01-22,-7 days +00:00:00.000000000,7
157,10290 S,1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
158,10290 XL,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
159,10297 L,1.0,2018-01-28,2018-01-10,2018-01-28,2018-01-10,18 days 00:00:00.000000000,18
160,10306 L ( 42-46 ),39.0,2018-01-10,2018-01-22,2018-01-10,2018-01-22,-12 days +00:00:00.000000000,12
161,10306 M ( 38-42 ),14.0,2018-01-10,2018-01-22,2018-01-10,2018-01-22,-12 days +00:00:00.000000000,12
162,10306 S ( 34-38 ),4.0,2018-01-10,2018-01-28,2018-01-10,2018-01-28,-18 days +00:00:00.000000000,18
163,10306 XL (46-50 ),2.0,2018-01-07,2018-01-17,2018-01-07,2018-01-17,-10 days +00:00:00.000000000,10
164,10312 40,2.0,2018-01-29,2018-01-17,2018-01-29,2018-01-17,12 days 00:00:00.000000000,12
165,10312 40 2/3,1.0,2018-01-18,2018-01-10,2018-01-18,2018-01-10,8 days 00:00:00.000000000,8
166,10312 41 1/3,1.0,2018-01-08,2018-01-10,2018-01-08,2018-01-10,-2 days +00:00:00.000000000,2
167,10312 42,3.0,2018-01-13,2018-01-23,2018-01-13,2018-01-23,-10 days +00:00:00.000000000,10
168,10312 42 2/3,6.0,2018-01-13,2018-01-22,2018-01-13,2018-01-22,-9 days +00:00:00.000000000,9
169,10312 43 1/3,11.0,2018-01-26,2018-01-22,2018-01-26,2018-01-22,4 days 00:00:00.000000000,4
170,10312 44,17.0,2018-01-29,2018-01-22,2018-01-29,2018-01-22,7 days 00:00:00.000000000,7
171,10312 44 2/3,15.0,2018-01-30,2018-01-22,2018-01-30,2018-01-22,8 days 00:00:00.000000000,8
172,10312 45 1/3,23.0,2018-01-31,2018-01-22,2018-01-31,2018-01-22,9 days 00:00:00.000000000,9
173,10312 46,3.0,2018-01-23,2018-01-23,2018-01-23,2018-01-23,0 days 00:00:00.000000000,0
174,10312 46 2/3,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
175,10319 38,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
176,10319 40,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
177,10320 43/46,1.0,2018-01-07,2018-01-10,2018-01-07,2018-01-10,-3 days +00:00:00.000000000,3
178,10325 128,1.0,2018-01-12,2018-01-10,2018-01-12,2018-01-10,2 days 00:00:00.000000000,2
179,10325 140,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
180,10325 152,1.0,2018-01-06,2018-01-10,2018-01-06,2018-01-10,-4 days +00:00:00.000000000,4
181,10325 164,3.0,2018-01-06,2018-01-23,2018-01-06,2018-01-23,-17 days +00:00:00.000000000,17
182,10331 L ( 152-158 ),3.0,2018-01-29,2018-01-23,2018-01-29,2018-01-23,6 days 00:00:00.000000000,6
183,10331 XL ( 158-170 ),3.0,2018-01-29,2018-01-23,2018-01-29,2018-01-23,6 days 00:00:00.000000000,6
184,10332 39,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
185,10333 L ( 42-46 ),9.0,2018-01-13,2018-01-22,2018-01-13,2018-01-22,-9 days +00:00:00.000000000,9
186,10333 M ( 38-42 ),14.0,2018-01-12,2018-01-22,2018-01-12,2018-01-22,-10 days +00:00:00.000000000,10
187,10333 S ( 34-38 ),2.0,2018-01-31,2018-01-17,2018-01-31,2018-01-17,14 days 00:00:00.000000000,14
188,10333 XL (46-50 ),6.0,2018-01-31,2018-01-22,2018-01-31,2018-01-22,9 days 00:00:00.000000000,9
189,10333 XS ( 30-34 ),1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
190,10337 2XL,1.0,2018-01-09,2018-01-10,2018-01-09,2018-01-10,-1 days +00:00:00.000000000,1
191,10337 L,2.0,2018-01-20,2018-01-17,2018-01-20,2018-01-17,3 days 00:00:00.000000000,3
192,10339 40,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
193,10339 41 1/3,1.0,2018-01-07,2018-01-10,2018-01-07,2018-01-10,-3 days +00:00:00.000000000,3
194,10339 42,1.0,2018-01-26,2018-01-10,2018-01-26,2018-01-10,16 days 00:00:00.000000000,16
195,10339 44,1.0,2018-01-07,2018-01-10,2018-01-07,2018-01-10,-3 days +00:00:00.000000000,3
196,10339 44 2/3,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
197,10339 45 1/3,1.0,2018-01-06,2018-01-10,2018-01-06,2018-01-10,-4 days +00:00:00.000000000,4
198,10343 L,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
199,10343 M,2.0,2018-01-17,2018-01-17,2018-01-17,2018-01-17,0 days 00:00:00.000000000,0
200,10351 41,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
201,10353 44,2.0,2018-01-31,2018-01-17,2018-01-31,2018-01-17,14 days 00:00:00.000000000,14
202,10353 44 2/3,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
203,10353 45 1/3,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
204,10353 46,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
205,10361 L,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
206,10361 M,3.0,2018-01-21,2018-01-23,2018-01-21,2018-01-23,-2 days +00:00:00.000000000,2
207,10361 S,2.0,2018-01-18,2018-01-17,2018-01-18,2018-01-17,1 days 00:00:00.000000000,1
208,10361 XL,1.0,2018-01-24,2018-01-10,2018-01-24,2018-01-10,14 days 00:00:00.000000000,14
209,10362 S,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
210,10365 L,3.0,2018-01-10,2018-01-23,2018-01-10,2018-01-23,-13 days +00:00:00.000000000,13
211,10365 M,2.0,2018-01-11,2018-01-17,2018-01-11,2018-01-17,-6 days +00:00:00.000000000,6
212,10365 S,2.0,2018-01-15,2018-01-17,2018-01-15,2018-01-17,-2 days +00:00:00.000000000,2
213,10365 XS,3.0,2018-01-18,2018-01-23,2018-01-18,2018-01-23,-5 days +00:00:00.000000000,5
214,10368 5 ( 43-46 ),2.0,2018-01-22,2018-01-17,2018-01-22,2018-01-17,5 days 00:00:00.000000000,5
215,10369 40,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
216,10378 2XL,5.0,2018-01-21,2018-01-22,2018-01-21,2018-01-22,-1 days +00:00:00.000000000,1
217,10378 L,26.0,2018-01-30,2018-01-22,2018-01-30,2018-01-22,8 days 00:00:00.000000000,8
218,10378 M,9.0,2018-01-19,2018-01-22,2018-01-19,2018-01-22,-3 days +00:00:00.000000000,3
219,10378 S,4.0,2018-01-07,2018-01-28,2018-01-07,2018-01-28,-21 days +00:00:00.000000000,21
220,10378 XL,13.0,2018-01-09,2018-01-22,2018-01-09,2018-01-22,-13 days +00:00:00.000000000,13
221,10382 L,4.0,2018-01-21,2018-01-28,2018-01-21,2018-01-28,-7 days +00:00:00.000000000,7
222,10382 M,2.0,2018-01-15,2018-01-17,2018-01-15,2018-01-17,-2 days +00:00:00.000000000,2
223,10383 2 ( Senior ),1.0,2018-01-24,2018-01-10,2018-01-24,2018-01-10,14 days 00:00:00.000000000,14
224,10391 140,1.0,2018-01-27,2018-01-10,2018-01-27,2018-01-10,17 days 00:00:00.000000000,17
225,10396 2XL,2.0,2018-01-30,2018-01-17,2018-01-30,2018-01-17,13 days 00:00:00.000000000,13
226,10396 L,22.0,2018-01-19,2018-01-22,2018-01-19,2018-01-22,-3 days +00:00:00.000000000,3
227,10396 M,9.0,2018-01-31,2018-01-22,2018-01-31,2018-01-22,9 days 00:00:00.000000000,9
228,10396 S,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
229,10396 XL,2.0,2018-01-12,2018-01-17,2018-01-12,2018-01-17,-5 days +00:00:00.000000000,5
230,10402 2XL,4.0,2018-01-10,2018-01-28,2018-01-10,2018-01-28,-18 days +00:00:00.000000000,18
231,10402 L,49.0,2018-01-15,2018-01-22,2018-01-15,2018-01-22,-7 days +00:00:00.000000000,7
232,10402 M,10.0,2018-01-12,2018-01-22,2018-01-12,2018-01-22,-10 days +00:00:00.000000000,10
233,10402 S,19.0,2018-01-30,2018-01-22,2018-01-30,2018-01-22,8 days 00:00:00.000000000,8
234,10402 XL,1.0,2018-01-04,2018-01-10,2018-01-04,2018-01-10,-6 days +00:00:00.000000000,6
235,10402 XS,2.0,2018-01-23,2018-01-17,2018-01-23,2018-01-17,6 days 00:00:00.000000000,6
236,10405 116,1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
237,10405 128,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
238,10405 140,2.0,2018-01-25,2018-01-17,2018-01-25,2018-01-17,8 days 00:00:00.000000000,8
