,pid,size,p;rice,date,key,weekday,day,mo;nth;,units,sum_unit,price_daily_change
24,19671,39;1/3,133.31,2017-10-25,19671;39;1/3,2,25,10,0.0,1.0,0.0
25,19671,39;1/3,133.31,2017-10-26,19671;39;1/3,3,26,10,0.0,1.0,0.0
26,19671,39;1/3,133.31,2017-10-27,19671;39;1/3,4,27,10,0.0,1.0,0.0
27,19671,39;1/3,133.31,2017-10-28,19671;39;1/3,5,28,10,0.0,1.0,0.0
28,19671,39;1/3,133.31,2017-10-29,19671;39;1/3,6,29,10,0.0,1.0,0.0
29,19671,39;1/3,133.31,2017-10-30,19671;39;1/3,0,30,10,0.0,1.0,0.0
30,19671,39;1/3,133.31,2017-10-31,19671;39;1/3,1,31,10,0.0,1.0,0.0
31,19671,39;1/3,133.31,2017-11-01,19671;39;1/3,2,1,11,0.0,0.0,0.0
32,19671,39;1/3,133.31,2017-11-02,19671;39;1/3,3,2,11,0.0,0.0,0.0
33,19671,39;1/3,133.31,2017-11-03,19671;39;1/3,4,3,11,0.0,0.0,0.0
34,19671,39;1/3,133.31,2017-11-04,19671;39;1/3,5,4,11,0.0,0.0,0.0
35,19671,39;1/3,133.31,2017-11-05,19671;39;1/3,6,5,11,0.0,0.0,0.0
36,19671,39;1/3,133.31,2017-11-06,19671;39;1/3,0,6,11,0.0,0.0,0.0
37,19671,39;1/3,133.31,2017-11-07,19671;39;1/3,1,7,11,0.0,0.0,0.0
38,19671,39;1/3,133.31,2017-11-08,19671;39;1/3,2,8,11,0.0,0.0,0.0
39,19671,39;1/3,133.31,2017-11-09,19671;39;1/3,3,9,11,0.0,0.0,0.0
40,19671,39;1/3,133.31,2017-11-10,19671;39;1/3,4,10,11,0.0,0.0,0.0
41,19671,39;1/3,133.31,2017-11-11,19671;39;1/3,5,11,11,0.0,0.0,0.0
42,19671,39;1/3,133.31,2017-11-12,19671;39;1/3,6,12,11,0.0,0.0,0.0
43,19671,39;1/3,133.31,2017-11-13,19671;39;1/3,0,13,11,0.0,0.0,0.0
44,19671,39;1/3,133.31,2017-11-14,19671;39;1/3,1,14,11,0.0,0.0,0.0
45,19671,39;1/3,133.31,2017-11-15,19671;39;1/3,2,15,11,0.0,0.0,0.0
46,19671,39;1/3,133.31,2017-11-16,19671;39;1/3,3,16,11,0.0,0.0,0.0
47,19671,39;1/3,133.31,2017-11-17,19671;39;1/3,4,17,11,0.0,0.0,0.0
48,19671,39;1/3,133.31,2017-11-18,19671;39;1/3,5,18,11,0.0,0.0,0.0
49,19671,39;1/3,133.31,2017-11-19,19671;39;1/3,6,19,11,0.0,0.0,0.0
50,19671,39;1/3,133.31,2017-11-20,19671;39;1/3,0,20,11,0.0,0.0,0.0
51,19671,39;1/3,133.31,2017-11-21,19671;39;1/3,1,21,11,0.0,0.0,0.0
52,19671,39;1/3,133.31,2017-11-22,19671;39;1/3,2,22,11,0.0,0.0,0.0
53,19671,39;1/3,133.31,2017-11-23,19671;39;1/3,3,23,11,0.0,0.0,0.0
54,19671,39;1/3,133.31,2017-11-24,19671;39;1/3,4,24,11,0.0,0.0,0.0
55,19671,39;1/3,133.31,2017-11-25,19671;39;1/3,5,25,11,0.0,0.0,0.0
56,19671,39;1/3,133.31,2017-11-26,19671;39;1/3,6,26,11,0.0,0.0,0.0
57,19671,39;1/3,133.31,2017-11-27,19671;39;1/3,0,27,11,0.0,0.0,0.0
58,19671,39;1/3,133.31,2017-11-28,19671;39;1/3,1,28,11,0.0,0.0,0.0
59,19671,39;1/3,133.31,2017-11-29,19671;39;1/3,2,29,11,0.0,0.0,0.0
60,19671,39;1/3,133.31,2017-11-30,19671;39;1/3,3,30,11,0.0,0.0,0.0
61,19671,39;1/3,133.31,2017-12-01,19671;39;1/3,4,1,12,0.0,0.0,0.0
62,19671,39;1/3,133.31,2017-12-02,19671;39;1/3,5,2,12,0.0,0.0,0.0
63,19671,39;1/3,133.31,2017-12-03,19671;39;1/3,6,3,12,0.0,0.0,0.0
64,19671,39;1/3,133.31,2017-12-04,19671;39;1/3,0,4,12,0.0,0.0,0.0
65,19671,39;1/3,133.31,2017-12-05,19671;39;1/3,1,5,12,0.0,0.0,0.0
66,19671,39;1/3,133.31,2017-12-06,19671;39;1/3,2,6,12,0.0,0.0,0.0
67,19671,39;1/3,133.31,2017-12-07,19671;39;1/3,3,7,12,0.0,0.0,0.0
68,19671,39;1/3,133.31,2017-12-08,19671;39;1/3,4,8,12,0.0,0.0,0.0
69,19671,39;1/3,133.31,2017-12-09,19671;39;1/3,5,9,12,0.0,0.0,0.0
70,19671,39;1/3,133.31,2017-12-10,19671;39;1/3,6,10,12,0.0,0.0,0.0
71,19671,39;1/3,133.31,2017-12-11,19671;39;1/3,0,11,12,0.0,0.0,0.0
72,19671,39;1/3,133.31,2017-12-12,19671;39;1/3,1,12,12,0.0,0.0,0.0
73,19671,39;1/3,133.31,2017-12-13,19671;39;1/3,2,13,12,0.0,0.0,0.0
74,19671,39;1/3,133.31,2017-12-14,19671;39;1/3,3,14,12,0.0,0.0,0.0
75,19671,39;1/3,133.31,2017-12-15,19671;39;1/3,4,15,12,0.0,0.0,0.0
76,19671,39;1/3,133.31,2017-12-16,19671;39;1/3,5,16,12,0.0,0.0,0.0
77,19671,39;1/3,133.31,2017-12-17,19671;39;1/3,6,17,12,0.0,0.0,0.0
78,19671,39;1/3,133.31,2017-12-18,19671;39;1/3,0,18,12,0.0,0.0,0.0
79,19671,39;1/3,133.31,2017-12-19,19671;39;1/3,1,19,12,0.0,0.0,0.0
80,19671,39;1/3,133.31,2017-12-20,19671;39;1/3,2,20,12,0.0,0.0,0.0
81,19671,39;1/3,133.31,2017-12-21,19671;39;1/3,3,21,12,0.0,0.0,0.0
82,19671,39;1/3,133.31,2017-12-22,19671;39;1/3,4,22,12,0.0,0.0,0.0
83,19671,39;1/3,133.31,2017-12-23,19671;39;1/3,5,23,12,0.0,0.0,0.0
84,19671,39;1/3,133.31,2017-12-24,19671;39;1/3,6,24,12,0.0,0.0,0.0
85,19671,39;1/3,133.31,2017-12-25,19671;39;1/3,0,25,12,0.0,0.0,0.0
86,19671,39;1/3,133.31,2017-12-26,19671;39;1/3,1,26,12,0.0,0.0,0.0
87,19671,39;1/3,133.31,2017-12-27,19671;39;1/3,2,27,12,0.0,0.0,0.0
88,19671,39;1/3,133.31,2017-12-28,19671;39;1/3,3,28,12,0.0,0.0,0.0
89,19671,39;1/3,133.31,2017-12-29,19671;39;1/3,4,29,12,0.0,0.0,0.0
90,19671,39;1/3,133.31,2017-12-30,19671;39;1/3,5,30,12,0.0,0.0,0.0
91,19671,39;1/3,133.31,2017-12-31,19671;39;1/3,6,31,12,0.0,0.0,0.0
92,19671,39;1/3,133.31,2018-01-01,19671;39;1/3,0,1,1,0.0,0.0,0.0
93,19671,39;1/3,133.31,2018-01-02,19671;39;1/3,1,2,1,0.0,0.0,0.0
94,19671,39;1/3,133.31,2018-01-03,19671;39;1/3,2,3,1,0.0,0.0,0.0
95,19671,39;1/3,133.31,2018-01-04,19671;39;1/3,3,4,1,0.0,0.0,0.0
96,19671,39;1/3,133.31,2018-01-05,19671;39;1/3,4,5,1,0.0,0.0,0.0
97,19671,39;1/3,133.31,2018-01-06,19671;39;1/3,5,6,1,0.0,0.0,0.0
98,19671,39;1/3,133.31,2018-01-07,19671;39;1/3,6,7,1,0.0,0.0,0.0
